Day,Number of Bicycle Hires
30/09/2021,34070
29/09/2021,39889
28/09/2021,32539
27/09/2021,32167
26/09/2021,45120
25/09/2021,48464
24/09/2021,46188
23/09/2021,42839
22/09/2021,46160
21/09/2021,44742
20/09/2021,37688
19/09/2021,30843
18/09/2021,51276
17/09/2021,41451
16/09/2021,43324
15/09/2021,41475
14/09/2021,22868
13/09/2021,38381
12/09/2021,40878
11/09/2021,45775
10/09/2021,37371
09/09/2021,40841
08/09/2021,45724
07/09/2021,46820
06/09/2021,41404
05/09/2021,45019
04/09/2021,41071
03/09/2021,39313
02/09/2021,38819
01/09/2021,37351
31/08/2021,34405
30/08/2021,32834
29/08/2021,37036
28/08/2021,39079
27/08/2021,38092
26/08/2021,37207
25/08/2021,40735
24/08/2021,39528
23/08/2021,35646
22/08/2021,33740
21/08/2021,33253
20/08/2021,37246
19/08/2021,38038
18/08/2021,38932
17/08/2021,33512
16/08/2021,33350
15/08/2021,38196
14/08/2021,45240
13/08/2021,36974
12/08/2021,39300
11/08/2021,43105
10/08/2021,40594
09/08/2021,21631
08/08/2021,25151
07/08/2021,24923
06/08/2021,29528
05/08/2021,32203
04/08/2021,44100
03/08/2021,38495
02/08/2021,34271
01/08/2021,34363
31/07/2021,35245
30/07/2021,27711
29/07/2021,41800
28/07/2021,26479
27/07/2021,36757
26/07/2021,35746
25/07/2021,18928
24/07/2021,36858
23/07/2021,43689
22/07/2021,46441
21/07/2021,44450
20/07/2021,39599
19/07/2021,38150
18/07/2021,46573
17/07/2021,52076
16/07/2021,42995
15/07/2021,38928
14/07/2021,41440
13/07/2021,38752
12/07/2021,26207
11/07/2021,41697
10/07/2021,40187
09/07/2021,39283
08/07/2021,38050
07/07/2021,38154
06/07/2021,24198
05/07/2021,30621
04/07/2021,32720
03/07/2021,39874
02/07/2021,42389
01/07/2021,41628
30/06/2021,36876
29/06/2021,31705
28/06/2021,28726
27/06/2021,29857
26/06/2021,49956
25/06/2021,39245
24/06/2021,40655
23/06/2021,42286
22/06/2021,35374
21/06/2021,20308
20/06/2021,28862
19/06/2021,35694
18/06/2021,19019
17/06/2021,30025
16/06/2021,44040
15/06/2021,44254
14/06/2021,41072
13/06/2021,48648
12/06/2021,56284
11/06/2021,44164
10/06/2021,44437
09/06/2021,46622
08/06/2021,44784
07/06/2021,39528
06/06/2021,41571
05/06/2021,56900
04/06/2021,22742
03/06/2021,47170
02/06/2021,46206
01/06/2021,46109
31/05/2021,53069
30/05/2021,47763
29/05/2021,49814
28/05/2021,32904
27/05/2021,37825
26/05/2021,32433
25/05/2021,29205
24/05/2021,21311
23/05/2021,22105
22/05/2021,29995
21/05/2021,21444
20/05/2021,27195
19/05/2021,29516
18/05/2021,27761
17/05/2021,21025
16/05/2021,17714
15/05/2021,28803
14/05/2021,31624
13/05/2021,24696
12/05/2021,31712
11/05/2021,30609
10/05/2021,26169
09/05/2021,34406
08/05/2021,22404
07/05/2021,31252
06/05/2021,27214
05/05/2021,22803
04/05/2021,22318
03/05/2021,21096
02/05/2021,30606
01/05/2021,34622
30/04/2021,28821
29/04/2021,27609
28/04/2021,21840
27/04/2021,30573
26/04/2021,26159
25/04/2021,29672
24/04/2021,45261
23/04/2021,34629
22/04/2021,32079
21/04/2021,30094
20/04/2021,35594
19/04/2021,30124
18/04/2021,36369
17/04/2021,42994
16/04/2021,33857
15/04/2021,26080
14/04/2021,30835
13/04/2021,29337
12/04/2021,28606
11/04/2021,31368
10/04/2021,23647
09/04/2021,30377
08/04/2021,27051
07/04/2021,24413
06/04/2021,22331
05/04/2021,26778
04/04/2021,47487
03/04/2021,33866
02/04/2021,39025
01/04/2021,36452
31/03/2021,40431
30/03/2021,50325
29/03/2021,34568
28/03/2021,23886
27/03/2021,40106
26/03/2021,17517
25/03/2021,20543
24/03/2021,22990
23/03/2021,24057
22/03/2021,25234
21/03/2021,32886
20/03/2021,34910
19/03/2021,26747
18/03/2021,16880
17/03/2021,18881
16/03/2021,18954
15/03/2021,16467
14/03/2021,21973
13/03/2021,24105
12/03/2021,18981
11/03/2021,16827
10/03/2021,11251
09/03/2021,25686
08/03/2021,18573
07/03/2021,28887
06/03/2021,30874
05/03/2021,20347
04/03/2021,15502
03/03/2021,12412
02/03/2021,19220
01/03/2021,18213
28/02/2021,31418
27/02/2021,52427
26/02/2021,29662
25/02/2021,18457
24/02/2021,22259
23/02/2021,21689
22/02/2021,13922
21/02/2021,33629
20/02/2021,39918
19/02/2021,17584
18/02/2021,16279
17/02/2021,12945
16/02/2021,12393
15/02/2021,13491
14/02/2021,14034
13/02/2021,15958
12/02/2021,11859
11/02/2021,11144
10/02/2021,11723
09/02/2021,7263
08/02/2021,6725
07/02/2021,6252
06/02/2021,19063
05/02/2021,19520
04/02/2021,11153
03/02/2021,13017
02/02/2021,14459
01/02/2021,12563
31/01/2021,16730
30/01/2021,7915
29/01/2021,14807
28/01/2021,13783
27/01/2021,12479
26/01/2021,10898
25/01/2021,13250
24/01/2021,6632
23/01/2021,24456
22/01/2021,16854
21/01/2021,15093
20/01/2021,9216
19/01/2021,12765
18/01/2021,12987
17/01/2021,24892
16/01/2021,12296
15/01/2021,13989
14/01/2021,6731
13/01/2021,8589
12/01/2021,11761
11/01/2021,11687
10/01/2021,13796
09/01/2021,19696
08/01/2021,11387
07/01/2021,12593
06/01/2021,12382
05/01/2021,9566
04/01/2021,10374
03/01/2021,13616
02/01/2021,17560
01/01/2021,10981
31/12/2020,15004
30/12/2020,17079
29/12/2020,14666
28/12/2020,12631
27/12/2020,17726
26/12/2020,12557
25/12/2020,17741
24/12/2020,15630
23/12/2020,13215
22/12/2020,14805
21/12/2020,11190
20/12/2020,17397
19/12/2020,16643
18/12/2020,18542
17/12/2020,22945
16/12/2020,17574
15/12/2020,26241
14/12/2020,15959
13/12/2020,13220
12/12/2020,29258
11/12/2020,24943
10/12/2020,23516
09/12/2020,23013
08/12/2020,21625
07/12/2020,19778
06/12/2020,20583
05/12/2020,31470
04/12/2020,22624
03/12/2020,14619
02/12/2020,24615
01/12/2020,22282
30/11/2020,19199
29/11/2020,27107
28/11/2020,34416
27/11/2020,23667
26/11/2020,23694
25/11/2020,22103
24/11/2020,22773
23/11/2020,21680
22/11/2020,35315
21/11/2020,35358
20/11/2020,18225
19/11/2020,20455
18/11/2020,23011
17/11/2020,23524
16/11/2020,19152
15/11/2020,22687
14/11/2020,15491
13/11/2020,25767
12/11/2020,25865
11/11/2020,23661
10/11/2020,24860
09/11/2020,19955
08/11/2020,31318
07/11/2020,40469
06/11/2020,21849
05/11/2020,19762
04/11/2020,36971
03/11/2020,28623
02/11/2020,27663
01/11/2020,25625
31/10/2020,23300
30/10/2020,29425
29/10/2020,21958
28/10/2020,27747
27/10/2020,21496
26/10/2020,29578
25/10/2020,27462
24/10/2020,26255
23/10/2020,32333
22/10/2020,31992
21/10/2020,17842
20/10/2020,32568
19/10/2020,29221
18/10/2020,31540
17/10/2020,34167
16/10/2020,33858
15/10/2020,30112
14/10/2020,29591
13/10/2020,20948
12/10/2020,21308
11/10/2020,34123
10/10/2020,34838
09/10/2020,29389
08/10/2020,29150
07/10/2020,34225
06/10/2020,30723
05/10/2020,25748
04/10/2020,8779
03/10/2020,21909
02/10/2020,12207
01/10/2020,34441
30/09/2020,27200
29/09/2020,32116
28/09/2020,33146
27/09/2020,26694
26/09/2020,34352
25/09/2020,30833
24/09/2020,32999
23/09/2020,30731
22/09/2020,46181
21/09/2020,38776
20/09/2020,47835
19/09/2020,51764
18/09/2020,42106
17/09/2020,42033
16/09/2020,43355
15/09/2020,43592
14/09/2020,31631
13/09/2020,47141
12/09/2020,47615
11/09/2020,38358
10/09/2020,40273
09/09/2020,39425
08/09/2020,38508
07/09/2020,32954
06/09/2020,39964
05/09/2020,42640
04/09/2020,35992
03/09/2020,30832
02/09/2020,31809
01/09/2020,36669
31/08/2020,39872
30/08/2020,35248
29/08/2020,29091
28/08/2020,27689
27/08/2020,23767
26/08/2020,41188
25/08/2020,27213
24/08/2020,31659
23/08/2020,37229
22/08/2020,44600
21/08/2020,35563
20/08/2020,42900
19/08/2020,20690
18/08/2020,39694
17/08/2020,32065
16/08/2020,32727
15/08/2020,30834
14/08/2020,30322
13/08/2020,34296
12/08/2020,41957
11/08/2020,43139
10/08/2020,40033
09/08/2020,44699
08/08/2020,47667
07/08/2020,43349
06/08/2020,41172
05/08/2020,42674
04/08/2020,41429
03/08/2020,36822
02/08/2020,44097
01/08/2020,49591
31/07/2020,43267
30/07/2020,43105
29/07/2020,41163
28/07/2020,37887
27/07/2020,23892
26/07/2020,34216
25/07/2020,24828
24/07/2020,40929
23/07/2020,40105
22/07/2020,41579
21/07/2020,40542
20/07/2020,39255
19/07/2020,33988
18/07/2020,56654
17/07/2020,46734
16/07/2020,37401
15/07/2020,34126
14/07/2020,35224
13/07/2020,35317
12/07/2020,49653
11/07/2020,51371
10/07/2020,38143
09/07/2020,26128
08/07/2020,22306
07/07/2020,32208
06/07/2020,33688
05/07/2020,47227
04/07/2020,42173
03/07/2020,37423
02/07/2020,28054
01/07/2020,31474
30/06/2020,28707
29/06/2020,32538
28/06/2020,42221
27/06/2020,41381
26/06/2020,50978
25/06/2020,52389
24/06/2020,52131
23/06/2020,48287
22/06/2020,43004
21/06/2020,45485
20/06/2020,64041
19/06/2020,36582
18/06/2020,25666
17/06/2020,26514
16/06/2020,37758
15/06/2020,37990
14/06/2020,57516
13/06/2020,65045
12/06/2020,26990
11/06/2020,24710
10/06/2020,16957
09/06/2020,36702
08/06/2020,28859
07/06/2020,39225
06/06/2020,27731
05/06/2020,28586
04/06/2020,27752
03/06/2020,28915
02/06/2020,45524
01/06/2020,38376
31/05/2020,63116
30/05/2020,70170
29/05/2020,45693
28/05/2020,40682
27/05/2020,38327
26/05/2020,38386
25/05/2020,67034
24/05/2020,55805
23/05/2020,40769
22/05/2020,36817
21/05/2020,36203
20/05/2020,42827
19/05/2020,35525
18/05/2020,29598
17/05/2020,51422
16/05/2020,46227
15/05/2020,28363
14/05/2020,20445
13/05/2020,16886
12/05/2020,20120
11/05/2020,13366
10/05/2020,23540
09/05/2020,48752
08/05/2020,43669
07/05/2020,27389
06/05/2020,23350
05/05/2020,18503
04/05/2020,18332
03/05/2020,26982
02/05/2020,38474
01/05/2020,14663
30/04/2020,9116
29/04/2020,11432
28/04/2020,4872
27/04/2020,17205
26/04/2020,39116
25/04/2020,38063
24/04/2020,23367
23/04/2020,23869
22/04/2020,21173
21/04/2020,18745
20/04/2020,17453
19/04/2020,39996
18/04/2020,20331
17/04/2020,11211
16/04/2020,16660
15/04/2020,18067
14/04/2020,14625
13/04/2020,18014
12/04/2020,29537
11/04/2020,33454
10/04/2020,27293
09/04/2020,17452
08/04/2020,13660
07/04/2020,14773
06/04/2020,10565
05/04/2020,28905
04/04/2020,22109
03/04/2020,11139
02/04/2020,9898
01/04/2020,9194
31/03/2020,9121
30/03/2020,7006
29/03/2020,7349
28/03/2020,12946
27/03/2020,11035
26/03/2020,10978
25/03/2020,10643
24/03/2020,10165
23/03/2020,11639
22/03/2020,16229
21/03/2020,17550
20/03/2020,13696
19/03/2020,13371
18/03/2020,17407
17/03/2020,19268
16/03/2020,24370
15/03/2020,13268
14/03/2020,18742
13/03/2020,25233
12/03/2020,26841
11/03/2020,29716
10/03/2020,28186
09/03/2020,22851
08/03/2020,14917
07/03/2020,20229
06/03/2020,27950
05/03/2020,17028
04/03/2020,23390
03/03/2020,29209
02/03/2020,26484
01/03/2020,16831
29/02/2020,12542
28/02/2020,18676
27/02/2020,20356
26/02/2020,28059
25/02/2020,27095
24/02/2020,23515
23/02/2020,14080
22/02/2020,18664
21/02/2020,24885
20/02/2020,22662
19/02/2020,24298
18/02/2020,25268
17/02/2020,25733
16/02/2020,6514
15/02/2020,9833
14/02/2020,26508
13/02/2020,25454
12/02/2020,27948
11/02/2020,27194
10/02/2020,21873
09/02/2020,6479
08/02/2020,21810
07/02/2020,28238
06/02/2020,29481
05/02/2020,29710
04/02/2020,29473
03/02/2020,28267
02/02/2020,16220
01/02/2020,20293
31/01/2020,26378
30/01/2020,27971
29/01/2020,28959
28/01/2020,28218
27/01/2020,23486
26/01/2020,12854
25/01/2020,18206
24/01/2020,26419
23/01/2020,28420
22/01/2020,27725
21/01/2020,28832
20/01/2020,28250
19/01/2020,17922
18/01/2020,19817
17/01/2020,25811
16/01/2020,26303
15/01/2020,22499
14/01/2020,23020
13/01/2020,23839
12/01/2020,16502
11/01/2020,18219
10/01/2020,26848
09/01/2020,26628
08/01/2020,28269
07/01/2020,27554
06/01/2020,23773
05/01/2020,12978
04/01/2020,15702
03/01/2020,18437
02/01/2020,18682
01/01/2020,11152
31/12/2019,13043
30/12/2019,16166
29/12/2019,12256
28/12/2019,11414
27/12/2019,11718
26/12/2019,5649
25/12/2019,34674
24/12/2019,10478
23/12/2019,15878
